batch,records_seen,mse,mse_moving_avg_100
608,19456,863.2555492666526,2377.8032419486144
609,19488,892.6405805215898,2381.0340731540396
610,19520,1556.3491820972151,2315.8271892602866
611,19552,645.4004097266616,2296.683045984839
612,19584,1975.2200647195334,2310.6539267503977
613,19616,1771.647998183186,2322.0559408804975
614,19648,468.1747359371198,2135.7927294878723
615,19680,366.8745444266802,2137.8413927721926
616,19712,656.25851684057,2132.8277166679204
617,19744,1234.5201496961113,2143.6763476825304
618,19776,131.51636522480166,2142.6559200437796
619,19808,398.15471887388935,2122.956495749621
620,19840,352.3782591888155,2121.090799765922
621,19872,1674.5227337545527,2127.4106319572197
622,19904,876.3100260626762,2131.1774534958786
623,19936,439.1979972939567,2109.9437272073183
624,19968,594.4602425984913,2097.642882441832
625,20000,328.75843001328553,2031.6157321359563
626,20032,1809.918559215005,1830.5600100346946
627,20064,919.3174100643294,1834.4758512849098
628,20096,419.8398061088643,1836.0439166747797
629,20128,785.6327258680186,1819.5727663425819
630,20160,644.5589075753456,1808.45910815079
631,20192,2288.8097974488433,1591.8015482267335
632,20224,789.1746863170566,1589.3971474980235
633,20256,563.1730147440371,1587.329324629599
634,20288,370.37069606236076,1586.1267002941343
635,20320,268.6045580026662,1585.8588864460842
636,20352,292.4180875412883,1584.4921653577399
637,20384,915.2295772285048,1590.906782692278
638,20416,2647.791119163554,1611.5589885205009
639,20448,1619.545564323204,1620.0565594320162
640,20480,833.0264858338876,1622.6884064774376
641,20512,121.17102931748373,1617.2554245751521
642,20544,130.85757123805894,1471.2138946265284
643,20576,47.58149943316448,1468.4309423226964
644,20608,125.71966239863582,1467.3049329400692
645,20640,777.2729816007692,1470.5831779923374
646,20672,2138.0790979630724,1478.398825491407
647,20704,183.93572576989803,1467.969460120223
648,20736,658.8834576802888,1464.02886102724
649,20768,73.09160341661793,1449.541222921654
650,20800,164.61080826680924,1435.9481855154625
651,20832,1264.2951883712146,1427.8007840733235
652,20864,14634.957677660306,1542.9449893199
653,20896,1576.0110147974574,1548.1727463008292
654,20928,574.9986653300308,1551.9882698914969
655,20960,486.17296120465414,1550.3249284949102
656,20992,7246.5736958251455,1615.811960690964
657,21024,626.307372986752,1376.9194766702697
658,21056,645.1405836706475,1375.4097630835267
659,21088,491.221514107729,1379.3189529515437
660,21120,404.691502371923,1365.570224230552
661,21152,1004.4616189451691,1374.3772622349293
662,21184,139.81031921931077,1368.764882765262
663,21216,1194.3868758118533,1376.6102266421824
664,21248,6821.988633324741,1441.7477092253548
665,21280,559.1560993180128,1440.196576037915
666,21312,311.9297670014293,1356.2207813173893
667,21344,579.8875198929825,1356.836901040288
668,21376,121.24341299264874,1356.5437552059543
669,21408,625.0953369526637,1359.846160286392
670,21440,297.50733170409444,1356.4380449482314
671,21472,178.09627124574317,1162.537925146185
672,21504,630.4231511154113,1138.9928118702592
