label,batch,memory_mb,delta_from_start_mb
batch,730.0,390.36328125,71.39453125
batch,731.0,390.36328125,71.39453125
batch,732.0,390.36328125,71.39453125
batch,733.0,390.36328125,71.39453125
batch,734.0,390.36328125,71.39453125
batch,735.0,390.36328125,71.39453125
batch,736.0,390.36328125,71.39453125
batch,737.0,390.36328125,71.39453125
batch,738.0,390.36328125,71.39453125
batch,739.0,390.375,71.40625
batch,740.0,390.375,71.40625
batch,741.0,390.375,71.40625
batch,742.0,390.375,71.40625
batch,743.0,390.375,71.40625
batch,744.0,390.375,71.40625
batch,745.0,390.375,71.40625
batch,746.0,390.375,71.40625
batch,747.0,390.375,71.40625
batch,748.0,390.375,71.40625
batch,749.0,390.375,71.40625
batch,750.0,390.375,71.40625
batch,751.0,390.375,71.40625
batch,752.0,390.375,71.40625
batch,753.0,390.375,71.40625
batch,754.0,390.37890625,71.41015625
batch,755.0,390.37890625,71.41015625
batch,756.0,390.37890625,71.41015625
